country_iso,latitude,longitude
UY,-34.2790,-56.0953
UZ,41.0665,68.9273
VA,41.9029,12.4535
VC,13.1516,-61.2228
VE,10.0637,-68.5395
VG,18.4284,-64.6114
VI,18.2763,-64.9040
VN,18.2294,106.1532
VU,-17.6644,168.3029
WF,-13.3318,-176.2707
WS,-13.8319,-171.7931
XK,42.6378,21.0823
YE,15.0596,44.4443
YT,-12.8021,45.2094
ZA,-29.0128,25.5969
ZM,-15.2561,28.3000
ZW,-17.9081,30.9160
ZZ,0.0000,0.0000
